443|Ronny|12314124123|9000.9745
444|Hussein|923812344|123123
443|Hassan|9786412495|12314.413
444|Hussein|923812344|123123
443|Hassan|9786412495|12314.413
444|Hussein|923812344|123123
443|Hassan|9786412495|12314.413
444|Hussein|923812344|123123
443|Hassan|9786412495|12314.413
444|Hussein|923812344|123123
443|Hassan|9786412495|12314.413
444|Hussein|923812344|123123
443|Hassan|9786412495|12314.413
444|Hussein|923812344|123123
443|Hassan|9786412495|12314.413
444|Hussein|923812344|123123
443|Hassan|9786412495|12314.413
444|Hussein|923812344|123123
