445|Ahmed|11281123412|9000.905
446|Assem|12342412412|11000.97
445|Ahmed|11281123412|9000.905
446|Assem|12342412412|11000.97
445|Ahmed|11281123412|9000.905
446|Assem|12342412412|11000.97
445|Ahmed|11281123412|9000.905
446|Assem|12342412412|11000.97
445|Ahmed|11281123412|9000.905
446|Assem|12342412412|11000.97
445|Ahmed|11281123412|9000.905
446|Assem|12342412412|11000.97
445|Ahmed|11281123412|9000.905
446|Assem|12342412412|11000.97
445|Ahmed|11281123412|9000.905
446|Assem|12342412412|11000.97
445|Ahmed|11281123412|9000.905
446|Assem|12342412412|11000.97
